,TRADEDATE,LCLOSE,TOPEN,TCLOSE,THIGH,TLOW,VOL,AMOUNT,CHANGE,PCHG,TOTMKTCAP,NEGOTIABLEMV
0,20160105,3469.066,3382.177,3478.78,3518.217,3377.28,162116984.0,1.96017085879e+11,9.714,0.28,2374509609.29,2117855242.37
1,20160106,3478.78,3482.406,3539.808,3543.739,3468.467,145966144.0,1.60947198402e+11,61.028,1.7543,2420513061.29,2158279389.49
2,20160107,3539.808,3481.15,3294.384,3481.15,3284.737,44102641.0,47130795628.0,-245.424,-6.9333,2263382362.59,2025576125.2
3,20160108,3294.384,3371.871,3361.563,3418.851,3237.931,185959451.0,2.03498868289e+11,67.179,2.0392,2312438040.58,2068060282.18
4,20160111,3361.563,3303.125,3192.45,3342.481,3192.45,174638387.0,1.8446405018e+11,-169.113,-5.0308,2203401662.27,1973129290.11
5,20160112,3192.45,3214.823,3215.71,3242.253,3174.55,128225796.0,1.4204890971e+11,23.26,0.7286,2219086788.42,1986104105.74
6,20160113,3215.71,3240.484,3155.879,3257.295,3155.879,120666494.0,1.30886082444e+11,-59.831,-1.8606,2178934768.59,1949751255.96
7,20160114,3155.879,3076.645,3221.571,3226.658,3072.039,134537671.0,1.44771580596e+11,65.692,2.0816,2219191404.52,1982725859.53
8,20160115,3221.571,3200.888,3118.73,3216.798,3101.052,124601779.0,1.31882737252e+11,-102.841,-3.1923,2145702755.06,1918271054.36
9,20160118,3118.73,3068.2348,3130.7289,3165.6164,3066.727,101128386.0,1.09458287764e+11,11.9989,0.3847,2150128282.21,1921107190.33
10,20160119,3130.7289,3132.7047,3223.1251,3227.908,3119.2163,127653893.0,1.42907686296e+11,92.3962,2.9513,2213460791.77,1976325418.9
11,20160120,3223.1251,3204.2183,3174.3781,3225.9496,3154.4259,130650504.0,1.43313337192e+11,-48.747,-1.5124,2184819031.32,1950831755.18
12,20160121,3174.3781,3136.3841,3081.3454,3202.5381,3081.3454,111189733.0,1.21856195433e+11,-93.0327,-2.9307,2123705535.54,1898043693.44
13,20160122,3081.3454,3114.895,3113.4626,3132.1708,3053.9581,89951087.0,96885673841.6,32.1172,1.0423,2146753420.88,1919902569.04
14,20160125,3113.4626,3129.0279,3128.886,3149.3322,3105.1004,81540061.0,85777891363.9,15.4234,0.4954,2157148610.0,1929714699.76
15,20160126,3128.886,3099.5957,2940.5085,3106.5302,2934.6469,126933921.0,1.27250652518e+11,-188.3775,-6.0206,2026661466.53,1818022165.94
16,20160127,2940.5085,2953.1826,2930.3519,2963.5438,2839.2899,132229366.0,1.26997670778e+11,-10.1566,-0.3454,2022264144.54,1815773223.49
17,20160128,2930.3519,2909.3341,2853.7562,2941.8866,2841.8442,99222756.0,95663874927.3,-76.5957,-2.6139,1973974259.66,1773943105.71
18,20160129,2853.7562,2855.5983,2946.0902,2965.3093,2854.3712,113304259.0,1.0946235668e+11,92.334,3.2355,2033607363.08,1824786913.58
19,20160201,2946.0902,2939.0401,2901.0477,2944.5172,2869.5614,86795342.0,82931453497.7,-45.0425,-1.5289,1998497315.72,1793280080.93
20,20160202,2901.0477,2901.5284,2961.3337,2972.4258,2901.5119,88601963.0,88740230428.0,60.286,2.0781,2036847638.78,1825676636.52
21,20160203,2961.3337,2931.2883,2948.6386,2954.71,2909.8982,77389000.0,74817092259.0,-12.6951,-0.4287,2024950162.4,1814116305.19
22,20160204,2948.6386,2960.3335,2984.7598,2999.2061,2960.2065,91779724.0,91550346871.8,36.1212,1.225,2049626609.84,1836853348.94
23,20160205,2984.7598,2982.0563,2963.7894,2988.3597,2962.8471,76850808.0,77443222334.1,-20.9704,-0.7026,2036247640.86,1826041948.41
24,20160215,2963.7894,2888.4277,2946.7066,2961.4926,2886.0183,72919434.0,71285049140.5,-17.0828,-0.5764,2021824058.12,1814003341.79
25,20160216,2946.7066,2962.1871,3037.0353,3042.0886,2962.1871,112579643.0,1.12300492317e+11,90.3287,3.0654,2082331556.93,1867160430.57
26,20160217,3037.0353,3034.0902,3063.3199,3065.7845,3027.0458,128291607.0,1.22279340234e+11,26.2846,0.8655,2101809229.58,1885098960.12
27,20160218,3063.3199,3079.5272,3053.6985,3093.5129,3049.8407,124401464.0,1.22618612161e+11,-9.6214,-0.3141,2094574633.84,1878874913.72
28,20160219,3053.6985,3047.9417,3051.585,3065.9677,3032.6336,87338012.0,90849341803.6,-2.1135,-0.0692,2090607356.66,1875080367.77
29,20160222,3051.585,3083.9325,3118.8675,3128.2069,3071.3289,140946968.0,1.41684080627e+11,67.2825,2.2048,2139174221.61,1917870129.51
30,20160223,3118.8675,3117.2027,3089.3632,3119.2209,3061.4294,112567391.0,1.17476469062e+11,-29.5043,-0.946,2119501370.78,1900435352.88
31,20160224,3089.3632,3077.6062,3109.5454,3109.5454,3055.2511,111782650.0,1.12918607549e+11,20.1822,0.6533,2133658921.78,1913723165.08
32,20160225,3109.5454,3104.4097,2918.7501,3104.4357,2905.4565,157829752.0,1.53493008194e+11,-190.7953,-6.1358,2007388015.02,1805368553.6
