,tradeDate,secID,ticker,exchangeCD,tradeAbbrName,STflg
0,2015-12-01,000033.XSHE,000033,XSHE,*ST新都,*ST
1,2015-12-02,000033.XSHE,000033,XSHE,*ST新都,*ST
2,2015-12-03,000033.XSHE,000033,XSHE,*ST新都,*ST
3,2015-12-04,000033.XSHE,000033,XSHE,*ST新都,*ST
4,2015-12-07,000033.XSHE,000033,XSHE,*ST新都,*ST
5,2015-12-08,000033.XSHE,000033,XSHE,*ST新都,*ST
6,2015-12-09,000033.XSHE,000033,XSHE,*ST新都,*ST
7,2015-12-10,000033.XSHE,000033,XSHE,*ST新都,*ST
8,2015-12-11,000033.XSHE,000033,XSHE,*ST新都,*ST
9,2015-12-14,000033.XSHE,000033,XSHE,*ST新都,*ST
10,2015-12-15,000033.XSHE,000033,XSHE,*ST新都,*ST
11,2015-12-16,000033.XSHE,000033,XSHE,*ST新都,*ST
12,2015-12-17,000033.XSHE,000033,XSHE,*ST新都,*ST
13,2015-12-18,000033.XSHE,000033,XSHE,*ST新都,*ST
14,2015-12-21,000033.XSHE,000033,XSHE,*ST新都,*ST
15,2015-12-22,000033.XSHE,000033,XSHE,*ST新都,*ST
16,2015-12-23,000033.XSHE,000033,XSHE,*ST新都,*ST
17,2015-12-24,000033.XSHE,000033,XSHE,*ST新都,*ST
18,2015-12-25,000033.XSHE,000033,XSHE,*ST新都,*ST
19,2015-12-28,000033.XSHE,000033,XSHE,*ST新都,*ST
20,2015-12-29,000033.XSHE,000033,XSHE,*ST新都,*ST
21,2015-12-30,000033.XSHE,000033,XSHE,*ST新都,*ST
22,2015-12-31,000033.XSHE,000033,XSHE,*ST新都,*ST
23,2016-01-04,000033.XSHE,000033,XSHE,*ST新都,*ST
24,2016-01-05,000033.XSHE,000033,XSHE,*ST新都,*ST
25,2016-01-06,000033.XSHE,000033,XSHE,*ST新都,*ST
26,2016-01-07,000033.XSHE,000033,XSHE,*ST新都,*ST
27,2016-01-08,000033.XSHE,000033,XSHE,*ST新都,*ST
28,2016-01-11,000033.XSHE,000033,XSHE,*ST新都,*ST
29,2016-01-12,000033.XSHE,000033,XSHE,*ST新都,*ST
30,2016-01-13,000033.XSHE,000033,XSHE,*ST新都,*ST
31,2016-01-14,000033.XSHE,000033,XSHE,*ST新都,*ST
32,2016-01-15,000033.XSHE,000033,XSHE,*ST新都,*ST
33,2016-01-18,000033.XSHE,000033,XSHE,*ST新都,*ST
34,2016-01-19,000033.XSHE,000033,XSHE,*ST新都,*ST
35,2016-01-20,000033.XSHE,000033,XSHE,*ST新都,*ST
36,2016-01-21,000033.XSHE,000033,XSHE,*ST新都,*ST
37,2016-01-22,000033.XSHE,000033,XSHE,*ST新都,*ST
38,2016-01-25,000033.XSHE,000033,XSHE,*ST新都,*ST
39,2016-01-26,000033.XSHE,000033,XSHE,*ST新都,*ST
40,2016-01-27,000033.XSHE,000033,XSHE,*ST新都,*ST
41,2016-01-28,000033.XSHE,000033,XSHE,*ST新都,*ST
42,2016-01-29,000033.XSHE,000033,XSHE,*ST新都,*ST
43,2016-02-01,000033.XSHE,000033,XSHE,*ST新都,*ST
44,2016-02-02,000033.XSHE,000033,XSHE,*ST新都,*ST
45,2016-02-03,000033.XSHE,000033,XSHE,*ST新都,*ST
46,2016-02-04,000033.XSHE,000033,XSHE,*ST新都,*ST
47,2016-02-05,000033.XSHE,000033,XSHE,*ST新都,*ST
48,2016-02-15,000033.XSHE,000033,XSHE,*ST新都,*ST
