mktime,interests,profit,value,daily_value,all_profit,close_profit,prosition_profit,settle_available_cash,position_cost,fee,retrace,value_chg,log_chg,last_profit,max_profit
20160105,400847.36,847.36,1.0,1.0,847.36,0.0,948.43,399898.92,59228.49,101.08,0.21,0.0021,-0.0021,0.0,0.0
20160106,405408.5,4561.14,1.01,1.01,5408.5,3756.04,1185.56,403375.58,121019.58,380.46,1.14,0.0114,-0.0114,847.36,847.36
20160107,407217.91,1809.41,1.02,1.0,7217.91,3646.84,-1401.53,403210.94,40058.73,435.9,0.45,0.0045,-0.0045,5408.5,5408.5
20160108,406201.04,-1016.87,1.02,1.0,6201.04,-1236.54,420.99,398562.14,62151.52,201.32,-0.25,-0.0025,0.0025,7217.91,7217.91
20160111,406684.61,483.57,1.02,1.0,6684.61,2209.13,-1385.76,401869.33,73004.59,339.8,-0.13,0.0012,-0.0012,6201.04,7217.91
20160112,401857.01,-4827.59,1.0,0.99,1857.01,-4263.79,-229.15,395401.56,66896.97,334.65,-1.32,-0.0119,0.0118,6684.61,7217.91
20160113,400445.99,-1411.03,1.0,1.0,445.99,-538.29,-581.16,399170.14,62382.76,291.57,-1.66,-0.0035,0.0035,1857.01,7217.91
20160114,400698.47,252.48,1.0,1.0,698.47,-889.67,1489.06,398763.42,72648.51,346.91,-1.6,0.0006,-0.0006,445.99,7217.91
20160115,399162.11,-1536.36,1.0,1.0,-837.89,-688.29,-610.6,399074.25,30365.16,237.46,-1.98,-0.0038,0.0038,698.47,7217.91
20160118,397793.79,-1368.32,0.99,1.0,-2206.21,-1604.13,375.76,398255.92,44765.63,139.95,-2.31,-0.0034,0.0034,-837.89,7217.91
20160119,400252.75,2458.96,1.0,1.01,252.75,1048.08,1632.02,400826.94,73749.53,221.14,-1.71,0.0062,-0.0062,-2206.21,7217.91
20160120,402725.75,2473.0,1.01,1.01,2725.75,2547.87,99.76,402373.25,38587.83,174.62,-1.1,0.0062,-0.0062,252.75,7217.91
20160121,400710.21,-2015.54,1.0,0.99,710.21,-726.29,-1099.78,399084.24,49587.57,189.47,-1.6,-0.005,0.005,2725.75,7217.91
20160122,399735.65,-974.56,1.0,1.0,-264.35,-1133.74,329.54,398695.9,42562.49,170.36,-1.84,-0.0024,0.0024,710.21,7217.91
20160125,400084.33,348.69,1.0,1.0,84.33,320.63,163.76,400184.92,66457.54,135.71,-1.75,0.0009,-0.0009,-264.35,7217.91
20160126,396584.61,-3499.72,0.99,0.99,-3415.39,-2776.05,-476.92,396977.21,17035.54,246.74,-2.61,-0.0087,0.0087,84.33,7217.91
20160127,396026.27,-558.35,0.99,1.0,-3973.73,-1423.81,990.13,398451.52,43944.74,124.67,-2.75,-0.0014,0.0014,-3415.39,7217.91
20160128,393928.88,-2097.39,0.98,0.99,-6071.12,-903.81,-985.05,398887.66,42565.31,208.53,-3.26,-0.0053,0.0053,-3973.73,7217.91
20160129,394276.14,347.26,0.99,1.0,-5723.86,-164.02,683.96,399663.3,19903.26,172.68,-3.18,0.0009,-0.0009,-6071.12,7217.91
20160201,394631.54,355.41,0.99,1.0,-5368.46,382.29,118.24,400237.17,35256.38,145.12,-3.09,0.0009,-0.0009,-5723.86,7217.91
20160202,395590.11,958.56,0.99,1.0,-4409.89,58.68,1032.92,399925.64,43531.03,133.04,-2.86,0.0024,-0.0024,-5368.46,7217.91
20160203,396248.24,658.13,0.99,1.0,-3751.76,-164.14,963.33,399694.81,66461.38,141.05,-2.69,0.0017,-0.0017,-4409.89,7217.91
20160204,400648.69,4400.45,1.0,1.01,648.69,3894.28,726.87,403673.59,32692.18,220.69,-1.61,0.0111,-0.0112,-3751.76,7217.91
20160205,399736.62,-912.07,1.0,1.0,-263.38,469.66,-1171.31,400259.24,65636.88,210.42,-1.84,-0.0023,0.0023,648.69,7217.91
20160215,399562.55,-174.08,1.0,1.0,-437.45,-1068.49,1211.3,398614.62,29723.19,316.89,-1.88,-0.0004,0.0004,-263.38,7217.91
20160216,402319.01,2756.46,1.01,1.01,2319.01,2007.08,897.47,401858.99,47768.33,148.09,-1.2,0.0069,-0.0069,-437.45,7217.91
20160217,404407.93,2088.92,1.01,1.01,4407.93,1448.05,787.32,401301.6,33557.79,146.45,-0.69,0.0052,-0.0052,2319.01,7217.91
20160218,406056.97,1649.04,1.02,1.0,6056.97,1423.9,366.27,401282.78,46415.15,141.12,-0.29,0.0041,-0.0041,4407.93,7217.91
20160219,406045.88,-11.08,1.02,1.0,6045.88,244.7,-57.16,400046.07,93733.98,198.63,-0.29,-0.0,0.0,6056.97,7217.91
20160222,409049.37,3003.49,1.02,1.01,9049.37,1660.8,1500.85,401502.64,76027.95,158.16,0.45,0.0074,-0.0074,6045.88,7217.91
20160223,411617.51,2568.14,1.03,1.01,11617.51,1970.83,814.82,401753.32,39035.72,217.51,0.63,0.0063,-0.0063,9049.37,9049.37
20160224,411323.01,-294.5,1.03,1.0,11323.01,-341.1,242.46,399463.05,43804.27,195.85,-0.07,-0.0007,0.0007,11617.51,11617.51
20160225,409826.32,-1496.69,1.02,1.0,9826.32,-367.96,-897.45,399400.75,43289.08,231.29,-0.44,-0.0036,0.0036,11323.01,11617.51
20160226,408224.45,-1601.88,1.02,1.0,8224.45,-1624.77,261.33,398136.79,43680.01,238.44,-0.82,-0.0039,0.0039,9826.32,11617.51
20160229,406723.97,-1500.47,1.02,1.0,6723.97,-1332.48,25.95,398473.58,26635.78,193.94,-1.19,-0.0037,0.0037,8224.45,11617.51
20160301,406163.75,-560.23,1.02,1.0,6163.75,-1129.62,714.59,398725.19,24125.0,145.19,-1.32,-0.0014,0.0014,6723.97,11617.51
20160302,407898.93,1735.18,1.02,1.0,7898.93,1053.56,838.6,400896.58,32099.53,156.98,-0.9,0.0043,-0.0043,6163.75,11617.51
20160303,408063.3,164.37,1.02,1.0,8063.3,499.44,-236.85,400401.22,25979.44,98.22,-0.86,0.0004,-0.0004,7898.93,11617.51
20160304,405869.86,-2193.43,1.01,0.99,5869.86,-1609.18,-441.39,398247.96,31559.26,142.86,-1.4,-0.0054,0.0054,8063.3,11617.51
20160307,406315.31,445.45,1.02,1.0,6315.31,136.42,445.57,399999.88,31885.51,136.54,-1.29,0.0011,-0.0011,5869.86,11617.51
20160308,406598.55,283.24,1.02,1.0,6598.55,-515.74,946.26,399336.98,23929.19,147.28,-1.22,0.0007,-0.0007,6315.31,11617.51
20160309,406055.53,-543.02,1.02,1.0,6055.53,75.22,-481.43,399938.42,51702.76,136.8,-1.35,-0.0013,0.0013,6598.55,11617.51
20160310,405030.02,-1025.51,1.01,1.0,5030.02,-566.12,-293.95,399268.44,41547.46,165.44,-1.6,-0.0025,0.0025,6055.53,11617.51
20160311,404593.45,-436.57,1.01,1.0,4593.45,-665.01,405.46,399157.97,31251.07,177.02,-1.71,-0.0011,0.0011,5030.02,11617.51
