symbol,trader_id,order_id,direction,price,comb_offset,cost,fee,commission,stamp,transfer,daily_profit,settle_price,amount,min_volume,create_time
SZ002628,198,222,1,6.85,0,684.67,5.0,5.0,0.0,0.0,10.33,7.0,1,100,20160112
SZ300493,199,224,1,68.09,0,6808.51,10.21,10.21,0.0,0.0,-227.72,65.91,1,100,20160112
SZ300459,200,225,1,24.76,0,2476.0,5.0,5.0,0.0,0.0,-5.0,24.76,1,100,20160112
SZ002514,201,226,1,19.69,0,1969.35,5.0,5.0,0.0,0.0,-4.35,19.7,1,100,20160112
SZ300329,202,227,1,26.5,0,2649.94,5.0,5.0,0.0,0.0,84.06,27.39,1,100,20160112
SZ000932,203,231,1,4.16,0,416.27,5.0,5.0,0.0,0.0,-20.27,4.01,1,100,20160112
SZ300466,204,232,1,70.29,0,7028.83,10.54,10.54,0.0,0.0,-143.37,68.96,1,100,20160112
SZ000897,205,234,1,6.16,0,615.92,5.0,5.0,0.0,0.0,0.08,6.21,1,100,20160112
SH600671,206,235,1,37.72,0,3772.28,6.66,5.66,0.0,1.0,3.06,37.82,1,100,20160112
SZ300033,207,237,1,67.75,0,6775.36,10.16,10.16,0.0,0.0,-155.52,66.3,1,100,20160112
SH600421,208,239,1,16.95,0,1695.28,6.0,5.0,0.0,1.0,15.72,17.17,1,100,20160112
SZ002468,209,240,-1,42.63,1,4262.88,10.66,6.39,4.26,0.0,0.0,0.0,1,100,20160112
SZ300496,210,241,-1,191.76,1,19176.09,47.94,28.76,19.18,0.0,0.0,0.0,1,100,20160112
SH603696,211,242,-1,47.15,1,4715.27,12.79,7.07,4.72,1.0,0.0,0.0,1,100,20160112
SZ300496,212,243,-1,191.76,1,19176.09,47.94,28.76,19.18,0.0,0.0,0.0,1,100,20160112
SZ002779,213,244,-1,64.38,1,6437.5,16.09,9.66,6.44,0.0,0.0,0.0,1,100,20160112
SZ002783,214,245,-1,94.89,1,9489.21,23.72,14.23,9.49,0.0,0.0,0.0,1,100,20160112
SZ002734,215,246,-1,29.32,1,2931.77,7.93,5.0,2.93,0.0,0.0,0.0,1,100,20160112
SZ200025,216,247,-1,24.54,1,2453.74,7.45,5.0,2.45,0.0,0.0,0.0,1,100,20160112
SZ000628,217,248,-1,13.92,1,1391.85,6.39,5.0,1.39,0.0,0.0,0.0,1,100,20160112
SZ000667,218,249,-1,5.67,1,567.03,5.57,5.0,0.57,0.0,0.0,0.0,1,100,20160112
SH600808,219,250,-1,3.05,1,304.87,6.3,5.0,0.3,1.0,0.0,0.0,1,100,20160112
SZ300466,220,251,-1,70.29,1,7028.83,17.57,10.54,7.03,0.0,0.0,0.0,1,100,20160112
SZ300466,221,252,-1,70.29,1,7028.83,17.57,10.54,7.03,0.0,0.0,0.0,1,100,20160112
SH600874,222,253,-1,9.47,1,946.51,6.95,5.0,0.95,1.0,0.0,0.0,1,100,20160112
SH600671,223,254,-1,37.72,1,3772.28,10.43,5.66,3.77,1.0,0.0,0.0,1,100,20160112
SZ300496,224,255,-1,191.76,1,19176.09,47.94,28.76,19.18,0.0,0.0,0.0,1,100,20160112
SZ000890,225,256,-1,11.86,1,1185.81,6.19,5.0,1.19,0.0,0.0,0.0,1,100,20160112
SZ000906,226,257,-1,13.94,1,1393.8,6.39,5.0,1.39,0.0,0.0,0.0,1,100,20160112
SZ000520,227,258,-1,10.97,1,1096.87,6.1,5.0,1.1,0.0,0.0,0.0,1,100,20160112
SH603300,228,259,-1,45.59,1,4558.7,12.4,6.84,4.56,1.0,0.0,0.0,1,100,20160112
SZ000025,229,260,-1,81.45,1,8145.13,20.36,12.22,8.15,0.0,0.0,0.0,1,100,20160112
