,available_cash,chg,interests,log_chg,mktime,profit,retrace,value
0,399842.76,0.0036,401455.42,0.0036,20160105,1455.42,0.3639,1.0036
1,404791.32,0.0159,407832.97,0.0158,20160106,7832.97,1.5886,1.0196
2,406185.58,0.0059,410219.27,0.0058,20160107,10219.27,0.5851,1.0255
3,396660.96,-0.0079,406973.49,-0.0079,20160108,6973.49,-0.7912,1.0174
4,400185.91,-0.0074,403973.74,-0.0074,20160111,3973.74,-1.5225,1.0099
5,392322.99,-0.0219,395123.71,-0.0222,20160112,-4876.29,-3.6799,0.9878
6,395320.23,-0.0174,388261.39,-0.0175,20160113,-11738.61,-5.3527,0.9707
7,398738.0,0.0057,390476.14,0.0057,20160114,-9523.86,-4.8128,0.9762
8,402245.47,-0.0007,390187.63,-0.0007,20160115,-9812.37,-4.8832,0.9755
9,396236.87,-0.0077,387180.3,-0.0077,20160118,-12819.7,-5.6163,0.968
10,401470.55,0.0122,391906.44,0.0121,20160119,-8093.56,-4.4642,0.9798
11,406593.85,0.0146,397623.49,0.0145,20160120,-2376.51,-3.0705,0.9941
12,396816.83,-0.014,392039.38,-0.0141,20160121,-7960.62,-4.4317,0.9801
13,397936.75,-0.004,390464.93,-0.004,20160122,-9535.07,-4.8156,0.9762
14,402054.05,0.0072,393281.41,0.0072,20160125,-6718.59,-4.129,0.9832
15,393924.36,-0.0203,385309.8,-0.0205,20160126,-14690.2,-6.0722,0.9633
16,396161.98,-0.0061,382948.89,-0.0061,20160127,-17051.11,-6.6478,0.9574
17,398750.15,-0.0095,379291.81,-0.0096,20160128,-20708.19,-7.5393,0.9482
18,400239.07,0.0027,380316.55,0.0027,20160129,-19683.45,-7.2894,0.9508
19,399824.89,0.0007,380593.6,0.0007,20160201,-19406.4,-7.2219,0.9515
20,401375.65,0.0094,384188.21,0.0094,20160202,-15811.79,-6.3456,0.9605
21,401133.38,0.0066,386718.9,0.0066,20160203,-13281.1,-5.7287,0.9668
22,404350.61,0.0145,392307.32,0.0143,20160204,-7692.68,-4.3664,0.9808
23,399904.39,-0.0079,389193.97,-0.008,20160205,-10806.03,-5.1254,0.973
24,396602.26,-0.0042,387549.07,-0.0042,20160215,-12450.93,-5.5264,0.9689
25,402754.87,0.0105,391625.36,0.0105,20160216,-8374.64,-4.5327,0.9791
26,402135.09,0.0085,394968.0,0.0085,20160217,-5032.0,-3.7178,0.9874
27,401848.89,0.0061,397365.41,0.0061,20160218,-2634.59,-3.1334,0.9934
28,399866.45,-0.0011,396909.52,-0.0011,20160219,-3090.48,-3.2445,0.9923
29,402324.51,0.0095,400695.83,0.0095,20160222,695.83,-2.3215,1.0017
30,403168.81,0.0121,405533.15,0.012,20160223,5533.15,-1.1423,1.0138
31,400114.06,-0.0003,405425.22,-0.0003,20160224,5425.22,-1.1687,1.0136
32,397610.87,-0.0105,401184.57,-0.0105,20160225,1184.57,-2.2024,1.003
33,396275.85,-0.0095,397385.3,-0.0095,20160226,-2614.7,-3.1286,0.9935
34,395689.06,-0.0116,392772.43,-0.0117,20160229,-7227.57,-4.2531,0.9819
35,397375.85,-0.0039,391238.43,-0.0039,20160301,-8761.57,-4.627,0.9781
36,401729.04,0.0097,395039.72,0.0097,20160302,-4960.28,-3.7003,0.9876
37,401907.25,0.0033,396345.84,0.0033,20160303,-3654.16,-3.382,0.9909
38,397157.84,-0.0104,392233.14,-0.0104,20160304,-7766.86,-4.3845,0.9806
39,399264.62,-0.0001,392185.09,-0.0001,20160307,-7814.91,-4.3962,0.9805
40,396802.92,-0.0033,390898.76,-0.0033,20160308,-9101.24,-4.7098,0.9772
41,400409.53,-0.0026,389882.39,-0.0026,20160309,-10117.61,-4.9576,0.9747
42,398050.93,-0.0075,386973.9,-0.0075,20160310,-13026.1,-5.6666,0.9674
43,397645.29,-0.0048,385120.17,-0.0048,20160311,-14879.83,-6.1185,0.9628
44,402349.45,0.0087,388455.55,0.0086,20160314,-11544.45,-5.3054,0.9711
45,401496.36,0.0028,389551.7,0.0028,20160315,-10448.3,-5.0382,0.9739
46,398658.03,-0.0035,388177.23,-0.0035,20160316,-11822.77,-5.3732,0.9704
47,401102.65,0.0084,391424.61,0.0083,20160317,-8575.39,-4.5816,0.9786
48,404008.17,0.0115,395924.9,0.0114,20160318,-4075.1,-3.4846,0.9898
49,400883.73,0.0063,398427.95,0.0063,20160321,-1572.05,-2.8744,0.9961
50,400272.33,0.0008,398748.85,0.0008,20160322,-1251.15,-2.7962,0.9969
51,399665.77,0.0036,400195.05,0.0036,20160323,195.05,-2.4436,1.0005
52,401417.58,0.0005,400376.74,0.0005,20160324,376.74,-2.3993,1.0009
53,396645.67,-0.0124,395425.15,-0.0124,20160325,-4574.85,-3.6064,0.9886
54,397684.62,-0.0084,392083.9,-0.0085,20160328,-7916.1,-4.4209,0.9802
55,397530.03,-0.009,388549.79,-0.0091,20160329,-11450.21,-5.2824,0.9714
56,400733.87,0.0058,390820.04,0.0058,20160330,-9179.96,-4.729,0.9771
57,402237.9,0.007,393554.12,0.007,20160331,-6445.88,-4.0625,0.9839
58,399670.19,0.0001,393580.65,0.0001,20160401,-6419.35,-4.056,0.984
59,401655.74,0.0084,396903.56,0.0084,20160405,-3096.44,-3.246,0.9923
60,401427.24,0.0049,398862.19,0.0049,20160406,-1137.81,-2.7685,0.9972
61,399721.29,-0.0019,398089.35,-0.0019,20160407,-1910.65,-2.9569,0.9952
62,398867.21,0.0001,398119.0,0.0001,20160408,-1881.0,-2.9497,0.9953
63,401813.34,0.0092,401768.2,0.0091,20160411,1768.2,-2.0601,1.0044
64,397671.03,-0.0074,398780.87,-0.0075,20160412,-1219.13,-2.7884,0.997
65,400268.91,0.0024,399735.04,0.0024,20160413,-264.96,-2.5558,0.9993
